Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2003-09-24,313.11,323.648,308.579,308.579,441.51702290906
2003-09-25,312.355,312.355,298.058,298.058,635.02826216894
2003-09-26,308.579,308.579,299.55,301.061,413.71368393493
2003-09-29,301.061,301.061,273.213,283.384,772.93282348059
2003-09-30,279.228,279.228,270.956,278.465,1980.7098685165
2003-10-01,278.465,282.25,278.465,278.465,2140.8571010074
2003-10-02,293.544,293.544,293.544,293.544,57.830945066173
2003-10-03,297.293,308.579,297.293,308.579,449.30195782181
2003-10-06,308.579,316.095,308.579,312.355,601.66425539999
2003-10-07,316.095,331.174,312.355,315.367,635.02826216894
2003-10-08,319.881,319.881,316.095,317.624,633.91612860998
2003-10-09,319.881,319.881,316.095,316.095,4057.0632231039
2003-10-10,316.481,323.648,316.095,316.095,237.99658161848
2003-10-13,320.628,320.628,316.095,316.095,214.64177688022
2003-10-14,318.002,327.021,316.868,327.021,573.86091642588
2003-10-15,328.162,338.709,324.017,338.709,2761.4276269098
2003-10-16,342.45,353.743,335.302,335.302,1974.0370671626
2003-10-17,331.174,331.174,323.648,323.648,1489.146835454
2003-10-20,319.126,323.648,316.481,316.481,223.53884535194
2003-10-21,319.881,326.651,316.868,326.651,122.33469148614
2003-10-22,326.651,331.174,321.382,326.651,1250.0381202765
2003-10-23,319.881,319.881,316.095,319.881,368.11620801737
2003-10-24,319.881,327.415,312.355,327.415,441.51702290906
2003-10-27,319.126,323.648,319.126,319.881,2464.4879666661
2003-10-28,322.893,323.648,316.095,323.648,562.73958083623
2003-10-29,323.648,323.648,313.856,319.881,199.07190705471
2003-10-30,322.893,322.893,316.095,316.095,107.8769552196
2003-10-31,316.095,316.481,316.095,316.095,279.14552330018
2003-11-03,316.868,319.881,316.868,316.868,520.47850559556
2003-11-04,316.095,316.095,312.733,316.095,130.11962639889
2003-11-05,316.095,322.507,316.095,319.881,2730.2878872587
2003-11-06,322.893,329.654,322.507,323.648,859.67924107985
2003-11-07,329.654,342.45,319.881,319.881,1628.1635303246
2003-11-10,325.159,330.788,323.648,323.648,283.59405753605
2003-11-12,331.174,331.174,324.394,324.394,87.858551158225
2003-11-13,324.763,329.654,324.394,328.162,74.512948450646
2003-11-14,329.654,337.558,328.522,328.522,1593.6873899967
2003-11-17,329.654,338.709,323.648,330.419,2672.4569421925
2003-11-18,330.788,331.174,324.763,324.763,114.54975657339
2003-11-19,323.648,329.654,316.095,329.654,722.88681332717
2003-11-20,325.159,325.159,320.628,320.628,3100.628362394
2003-11-21,323.648,327.415,319.881,321.382,27.803338974122
2003-11-24,316.868,329.654,316.868,329.654,345.87353683807
2003-11-25,324.394,331.174,324.394,329.654,294.7153931257
2003-11-26,326.273,329.654,326.273,328.162,504.90863577006
2003-11-27,322.507,331.912,322.507,331.912,155.69869825508
2003-11-28,331.533,334.933,331.174,332.667,96.755619629944
2003-12-01,332.667,341.694,332.667,334.933,841.88510413641
2003-12-02,334.933,342.45,331.174,342.45,3454.2868341449
2003-12-03,341.694,341.694,334.933,336.443,915.28591902809
2003-12-04,335.302,341.325,335.302,340.193,173.49283519852
2003-12-05,335.302,341.694,335.302,341.694,98.979886747874
2003-12-08,337.945,349.239,334.933,349.239,790.72696042403
2003-12-09,349.985,354.507,349.985,353.743,391.47101275563
2003-12-10,352.988,356,349.985,356,259.12711923881
2003-12-11,356.765,371.807,356.765,371.071,1372.3728117627
2003-12-12,372.555,383.093,372.555,381.205,842.99723769538
2003-12-15,387.616,387.616,376.7,383.847,581.64585133863
2003-12-16,384.613,385.349,369.551,376.331,859.67924107985
2003-12-17,379.334,390.636,376.331,390.636,1657.0790028576
2003-12-18,400.419,400.419,388.371,391.373,331.41580057153
2003-12-19,391.373,409.438,391.373,409.438,639.4767964048
2003-12-22,409.438,409.438,407.181,407.181,830.76376854676
2003-12-23,407.181,420.732,406.435,413.961,513.80570424177
2003-12-29,414.708,414.708,407.181,413.575,299.16392736155
2003-12-30,410.185,410.185,393.63,410.185,468.20822832421
2003-12-31,406.435,410.185,403.8,403.8,706.20480994269
2004-01-02,398.9,406.435,398.9,404.943,77.849349127541
2004-01-05,389.126,400.419,384.613,391.373,591.65505336932
2004-01-06,394.387,398.9,390.636,392.148,295.82752668466
2004-01-07,392.148,400.419,385.349,397.399,127.89535928096
2004-01-08,395.897,407.928,391.373,391.373,8843.6860608887
2004-01-09,391.373,395.15,383.847,395.15,1133.2640965852
2004-01-12,395.519,397.399,391.373,397.399,155.69869825508
2004-01-13,410.185,413.961,400.419,400.419,195.73550637782
2004-01-14,420.364,420.364,403.8,403.8,13499.077138716
2004-01-15,398.9,402.677,398.9,402.677,90.082818276155
2004-01-16,395.15,462.886,392.893,462.886,87.858551158225
2004-01-19,398.9,408.314,398.9,408.314,657.27093334824
2004-01-20,407.577,407.577,399.278,401.165,312.50953006913
2004-01-21,399.665,399.665,398.9,399.665,196.84763993678
2004-01-22,404.943,404.943,397.767,398.9,162.37149960887
2004-01-23,399.278,401.165,395.15,401.165,468.20822832421
2004-01-26,395.15,400.033,395.15,398.53,54.494544389279
2004-01-27,397.399,397.399,387.616,392.498,318.07019786396
2004-01-28,388.371,390.636,386.105,390.636,1124.3670281135
2004-01-29,380.843,389.494,377.815,389.494,541.60904321589
2004-01-30,389.494,394.008,388.371,391.373,891.93111428983
2004-02-02,391.373,391.373,387.616,387.616,206.85684196747
2004-02-03,391.014,391.014,386.5,389.891,252.45431788502
2004-02-04,391.373,395.15,389.891,395.15,19662.521322499
