Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-02-12,49.6435,50.062,48.9017,49.7386,1873722.4503207
2024-02-13,49.4533,50.2141,49.0539,49.4723,1796424.8024157
2024-02-14,49.4723,51.032,49.2441,50.8608,1711282.9868458
2024-02-15,51.2603,51.5836,49.9669,50.3092,1692153.1018157
2024-02-16,50.4043,51.7928,50.4043,51.2032,1939356.8934353
2024-02-19,50.4233,51.4314,50.4233,51.2983,1275875.9521103
2024-02-20,51.5456,52.7248,51.032,52.5727,4724345.5545448
2024-02-21,52.5727,53.3335,52.3825,52.7058,3358134.443152
2024-02-22,52.9721,53.8851,52.9341,53.3525,3694892.1317786
2024-02-23,53.5047,54.0943,53.2003,53.7329,4635922.0168193
2024-02-26,53.7329,53.9802,53.0292,53.0862,3145884.5150059
2024-02-27,53.0482,53.2194,52.1732,52.5917,3213386.4168031
2024-02-28,52.6107,52.7819,51.7738,51.7928,1853978.4910391
2024-02-29,51.7548,53.3525,51.7548,52.839,4526136.2659198
2024-03-01,53.2574,53.5427,52.839,53.4856,3465181.0443508
2024-03-04,53.6759,54.0753,53.3905,53.6568,2472170.4048186
2024-03-05,53.2574,53.5427,52.4015,52.4966,2199534.0551149
2024-03-06,52.839,53.0292,51.926,52.5536,2478561.403621
2024-03-07,51.926,52.1732,49.5484,50.8608,3884949.1641161
2024-03-08,50.6516,51.051,49.13,50.7467,4494589.2527458
2024-03-11,50.4043,52.3634,50.2331,52.3064,2251209.8754747
2024-03-12,52.3064,54.0943,51.4314,54.0753,3425738.3401588
2024-03-13,53.6568,54.8361,53.3145,53.5427,3521172.2084233
2024-03-14,53.2764,53.847,52.858,53.5427,2710146.2587135
2024-03-15,53.2003,54.2465,51.3744,52.6107,11388664.17977
2024-03-18,52.3064,52.9341,51.7358,52.8009,2334142.495835
2024-03-19,52.7819,53.2954,51.5646,52.5727,2457405.2838603
2024-03-20,53.2003,53.5617,52.2113,53.4476,2332802.8886493
2024-03-21,54.2084,55.2546,54.0182,55.2546,3164201.5928504
2024-03-22,55.2546,55.654,54.5888,54.7981,2166622.1988271
2024-03-25,54.8171,55.2355,54.3035,54.3035,1926741.0323573
2024-03-26,54.2845,55.5399,53.847,55.3497,2890173.0611108
2024-03-27,54.9122,55.711,54.9122,55.5399,2516865.3365556
2024-03-28,55.4448,56.7382,55.4448,56.4338,2153867.5401443
2024-04-02,56.4338,57.1946,56.0534,56.1105,3253448.4527317
2024-04-03,56.2626,56.9854,55.8632,56.3007,3019334.7473398
2024-04-04,56.567,57.1566,56.0344,57.0615,2420464.0910455
2024-04-05,56.3958,57.3849,56.3007,57.2897,3312190.3329719
2024-04-08,57.0805,58.5071,56.8713,58.0506,3179159.1377608
2024-04-09,58.0696,58.1267,56.1295,56.3007,2837223.8778766
2024-04-10,57.0615,57.6702,56.3958,57.0044,2135666.1269704
2024-04-11,56.586,57.2517,55.2165,55.3497,1789740.4359485
2024-04-12,56.0154,56.2056,54.9692,54.9692,1848976.5197815
